Asociación de Apicultores de Allende,"Sr. Ramón Moreno Rodríguez, Carr. Nacional y Lázaro Garza Ayala, Allende, Nuevo León"
Asociación de Apicultores de Tuxtepec,"Arista No. 342 Esq. 5 de Mayo, Tuxtepec, Oaxaca"
Asociación de Apicultores de Acatzingo,"Av. 2 Poniente No. 104-A, Acatzingo, Puebla"
Asociación de Apicultores de Tehuacán,"1 Norte No. 905, Centro, Tehuacán, Puebla"
Asociación de Apicultores de Huaquechula,"E. Zapata No.4, Col. San Diego Acapulco, Atlixco, Puebla"
Asociación de Apicultores de Querétaro,"Manuel Medina No. 207 Col. Burócrata, CP 76070, Querétaro, Querétaro"
Asociación de Apicultores de San Juan del Río,"Jalpan No. 75 Granjas Banthi, CP 76808, San Juan del Río, Querétaro"
Asociación de Apicultores de San Luis Potosí,"Retorno Sevilla y Olmedo No. 110, San Luis Potosí, S.L.P."
Asociación de Apicultores de Hermosillo,"Gral. Piña No. 151 Sur, Col. San Benito, CP 83000 Hermosillo, Sonora"
Asociación de Apicultores de Ahome - Sr. Rogaciano Carrera,"Prog. Ganad. Sagar, G.Prieto y M.Ordoñez-Los Mochis, Sin."
Asociación de Apicultores de Rosario,"Juan Carrasco N. 9 CP 82800, Rosario, Sinaloa"
Asociación de Apicultores de Villahermosa,"Andrés García N. 240 Col. 1 de Mayo, Villahermosa, Tabasco"
Asociación de Apicultores de Aldama,"Apdo. Post. 13, CP 89670, Aldama, Tamaulipas"
Asociación de Apicultores de Altamira,"Salón del Ejido Maclovio Herrera km. 40 Carr. Tamp-Mante CP. 89600, Altamira, Tamaulipas"
Asociación de Apicultores de Mante,"Galeana No. 106 Norte, CP 89800, Mante, Tamaulipas"
Asociación de Apicultores de Juamave,"Juárez No. 53, Juamave, Tamaulipas"
Asociación de Apicultores de Huamantla,"Ricardo Flores Magón No. 20, Col. Morelos, Huamantla, Tlaxcala"
Asociación de Apicultores de Tlaxcala,"Av. Tlahuicole No. 38, Col. López M. CP 90040, Tlaxcala, Tlaxcala"
Asociación de Apicultores de M. de la Torre,"Vicente Guerrero No. 15-1 CP 93600, Martínez de la Torre, Veracruz"
Asociación de Apicultores de Álamo,"Allende No. 6 Col. Centro, Álamo, Veracruz"
Asociación de Apicultores de Poza Rica,"Casa N Col. Medial Lomas (Int. Pemex), Poza Rica, Veracruz"
Asociación de Apicultores de Córdoba,"Hidalgo No. 12, Omealca, Veracruz"
Asociación de Apicultores de Mérida,"Calle No. 31-D No. 212, Nueva Alemán, Mérida, Yucatán"
Asociación de Apicultores de Ojo Caliente,"Calle Independencia No. 48-B, Ojo Caliente, Zacatecas"
Asociación de Apicultores de Fresnillo,"Calle Costa Rica s/n, Col. Américas, Fresnillo, Zacatecas"
Asociación de Apicultores de García de la Cadena,"Hidalgo No. 29, García de la Cadena, Zacatecas"
