id,nomb_ue,razon_soc,cod_scian,nom_activ,pers_ocup,tipo_vial,nomb_vial,tipo_evial,nom_evial,tip_evial2,nom_evial2,tip_evial3,nom_evial3,num_ext,letra_ext,edificio,edif_piso,num_int,letra_int,tipo_asent,nomb_asent,tipo_cc,c_ind_cc,num_local,cp,cve_ent,ent_fed,cve_mun,mun,cve_loc,loc,ageb,mza,tel,e_mail,web_site,tipo_estab,lat,lon,fecha_denu
8994,VENTA DE MIEL LA ABEJITA,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,NINGUNO,ANDADOR,ANDADOR DEL ABASTO,CALLE,NINGUNO,CALLE,NINGUNO,16,,,,,,COLONIA,CENTRO DE ABASTOS,,,,20280,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1462,14,4499710929,VERORODRIGUES1979@HOTMAIL.COM,,Fijo,21.83170211,-102.2899047,2010-07
6908731,VENTA MIEL,,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,CALLE DE LAS ROSAS,AVENIDA,AVENIDA DE LOS EUCALIPTOS,AVENIDA,LOS OLIVOS,CALLE,CALLE DE LOS GERANIOS,64,,,,0,,FRACCIONAMIENTO,VALLE VERDE,,,,22839,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,7733,4,,,,Fijo,31.88451887,-116.6082003,2019-11
155272,VENTA DE MIEL LA COLMENA,,431194,Comercio al por mayor de miel,11 a 30 personas,CALLE,GRANADOS,CALLE,CALLE DE LOS ÁRBOLES,CALLE,CALLE DE VOLCANES,CALLE,GRANADOS,650,,,,,,FRACCIONAMIENTO,LA MESA,,,,22105,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,5334,3,,,,Fijo,32.50248283,-116.9653522,2010-07
78847,LA CASITA DE LA MIEL,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,AVENIDA,LAZARO CARDENAS,CALLE,BENITO JUAREZ,CALLE,MIGUEL HIDALGO Y COSTILLA,AVENIDA,EMILIANO ZAPATA,201,,,,0,,EJIDO,OAXACA,,,,21700,2,BAJA CALIFORNIA,2,Mexicali,159,Delta (Estación Delta),5096,17,6861674791,,,Fijo,32.34750545,-115.1810705,2014-12
65777,MIEL OSITO,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,AVENIDA,AVENIDA DE LOS MANGOS,CALLE,BAJA CALIFORNIA,CALLE,ENRIQUE DUNAT,AVENIDA,FRANCISCO DE ULLOA,283,,,,,,FRACCIONAMIENTO,COSTA AZUL,,,,22870,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,882,11,6461770266,,,Fijo,31.8497952,-116.6000941,2010-07
6916026,MIELES OLGUIN,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,MAGUEY,AVENIDA,MANUEL DE MIER TERAN,AVENIDA,AVENIDA DEL CIRIO,CALLE,CAPITANES,,SN,,,,,COLONIA,LUCIO BLANCO,,,,21320,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,5984,10,6861480339,,,Fijo,32.60705532,-115.4960783,2019-11
8370072,VENTA DE MIEL,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,AVENIDA,BACHILLERES,CALLE,AGRONOMOS,CALLE,ABOGADOS,AVENIDA,ARQUITECTOS,2059,,,,,,COLONIA,CONJUNTO URBANO UNIVERSITARIO,,,,21180,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,469A,28,,,,Fijo,32.62918949,-115.5070476,2019-11
6973076,VENTA DE MIEL ORGANICA,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,ALGODON,CALLE,CALLE DE LOS ROBLES,CALLE,CALLE DE LA TIERRA,CALLE,BUGAMBILIA,,SN,,,,,COLONIA,FRACC VALLE NUEVO,,,,21720,2,BAJA CALIFORNIA,2,Mexicali,185,Ciudad Guadalupe Victoria (Kilómetro Cuarenta y Tres),6821,20,6865904272,,,Fijo,32.29867949,-115.1066823,2019-11
76501,VENTA DE MIEL SIN NOMBRE,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,LUIS GONZALEZ OCAMPO,CALLE,PRESIDENTE MUNICIPAL ELPIDIO BERLANGA DE LEON,AVENIDA,BRONCE,AVENIDA,JORGE OLGUIN HERMIDA,413,,,,,,COLONIA,CARLOS PACHECO,,,,22890,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,7786,12,6461742041,,,Fijo,31.87732284,-116.6054792,2010-07
6908167,VENTA DE MIEL Y ACEITUNA,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,PRESIDENTE MUNICIPAL ADOLFO RAMIREZ MENDEZ,CALLE,LUIS GONZALEZ OCAMPO,AVENIDA,5 DE FEBRERO,CALLE,LUIS GONZÁLEZ OCAMPO,288,,,,,,COLONIA,LUIS ECHEVERRIA,,,,22830,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,7786,5,,,,Fijo,31.87744256,-116.6036831,2019-11
183643,VENTA DE MIEL,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,BOULEVARD,TECNOLOGICO DE LOS CABOS,BOULEVARD,FORJADORES,CALLE,LEONAORDO DA VINCI,CALLE,PROFESOR FRANCISCO PAYEN SANDOVAL,,SN,,,,,COLONIA,GUAYMITAS,,,,23445,3,BAJA CALIFORNIA SUR,8,Los Cabos,1,San José del Cabo,1195,5,,,,Fijo,23.0791808,-109.7104147,2014-12
6951163,VENTA DE PRODUCTOS DE MIEL,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,ISLA MUJERES,CALLE,ISLA CUBA,CALLE,ISLA GUAYANA,CALLE,ISLAS VÍRGENES,,SN,,,,,COLONIA,CARIBE,,,,23477,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas,166A,32,6241647564,,,Fijo,22.93818716,-109.9294112,2019-11
7772101,CENTRO DE ENVASADO DE MIEL DE ABEJA,UNION DE SOCIEDADES APICOLAS ECOLOGICAS DE CALAKMUL U UNION DE SOCIEDADES DE PRODUCCION RURAL DE RESPONSABILIDAD LIMITADA,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,LA MUÑECA,CALLE,2,CALLE,XMAL,CALLE,EL PALMAR,,SN,,,,,COLONIA,XPUJIL,,,,24640,4,CAMPECHE,10,Calakmul,1,Xpujil,560,5,9831553004,APICULTORES.CALAKMUL@HOTMAIL.COM,,Fijo,18.50216831,-89.39361226,2019-11
7091423,ELABORACION DE PRODUCTOS DE MIEL Y SUS DERIVADOS,,311999,Elaboración de otros alimentos,0 a 5 personas,ANDADOR,NINGUNO,OTRO (ESPECIFIQUE),22,CALLE,20,CALLE,15,,SN,"TIANGUIS, BAZAR O PULGA",1,,,COLONIA,CENTRO,"TIANGUIS, BAZAR O PULGA",CENTRO DE DESARROLLO COMUNITARIO PARA LA EXPRESION DE LA CULTURA MAYA,SN,24900,4,CAMPECHE,1,Calkiní,1,Calkiní,345,23,,,,Semifijo,20.37195915,-90.05067259,2019-11
215430,FLOR DE MIEL,,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,17,CALLE,26,CALLE,28,CALLE,15,,SN,,,,,COLONIA,BARRIO LAS CRUCES,,,,24415,4,CAMPECHE,4,Champotón,432,Carrillo Puerto,1627,11,,,,Fijo,19.09775076,-90.52109126,2014-12
6290690,MIEL Y CERA DE CAMPECHE,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,,13,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24810,4,CAMPECHE,5,Hecelchakán,7,Pomuch,344,7,,,,Fijo,20.14175235,-90.17985156,2010-07
6290721,MIEL Y CERA DE CAMPECHE,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,8,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24660,4,CAMPECHE,6,Hopelchén,23,Vicente Guerrero,1176,2,,,,Fijo,19.57883493,-89.60181536,2010-07
6290699,MIEL Y CERA DE CAMPECHE SPR D RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,24,CARRETERA,XPUJIL-DZIBALCHEN,CALLE,22,CALLE,37,0,SN,,,0,,COLONIA,NINGUNO,,,,24611,4,CAMPECHE,6,Hopelchén,19,Dzibalchén,623,63,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.46167844,-89.72515767,2012-06
6290700,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,11,CALLE,14,CALLE,12,CALLE,13,0,SN,,,0,,ZONA COMERCIAL,NINGUNO,,,,24578,4,CAMPECHE,2,Campeche,105,Tixmucuy,855,4,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.5819081,-90.31677549,2010-07
6290703,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,NINGUNO,CALLE,5,CARRETERA,8,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24450,4,CAMPECHE,4,Champotón,36,Sihochac,2536,1,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.50073345,-90.57954662,2010-07
6290704,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,17,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24920,4,CAMPECHE,1,Calkiní,7,Dzitbalché,186,25,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,20.31667781,-90.06019746,2010-07
6290705,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,0,SN,,,0,,COLONIA,NINGUNO,,,,24615,4,CAMPECHE,6,Hopelchén,48,Ukum,695,9,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.24332203,-89.33620996,2012-06
6290706,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,0,SN,,,0,,COLONIA,NINGUNO,,,,24418,4,CAMPECHE,4,Champotón,1603,Miguel Colorado,1701,3,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,18.78535599,-90.65506571,2010-07
6290708,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,JACINTO CANEK,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24700,4,CAMPECHE,8,Tenabo,1,Tenabo,219,15,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,20.04753377,-90.22941665,2010-07
6290709,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,CHENCOLLI-UMAN,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,0,SN,,,0,,COLONIA,NINGUNO,,,,24604,4,CAMPECHE,6,Hopelchén,46,Suc-Tuc,052A,10,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.71334498,-90.03720178,2012-06
6290711,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,21,CALLE,5,CALLE,5,CALLE,19,0,SN,,,0,,BARRIO,BENITO JUAREZ,,,,24810,4,CAMPECHE,5,Hecelchakán,7,Pomuch,325,22,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,20.13586361,-90.18171721,2010-07
6290712,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,0,SN,,,0,,COLONIA,NINGUNO,,,,24820,4,CAMPECHE,5,Hecelchakán,2,Cumpich,202,28,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,20.18654637,-89.972303,2010-07
6290714,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,0,SN,,,0,,EJIDO,CANCABCHEN,,,,24612,4,CAMPECHE,6,Hopelchén,26,Cancabchén,727,9,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.3058321,-89.63451668,2012-06
6290715,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,18,CALLE,6,CALLE,11,CALLE,16,0,SN,,,0,,COLONIA,NINGUNO,,,,24570,4,CAMPECHE,2,Campeche,110,Alfredo V. Bonfil,889,1,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.52997632,-90.1818903,2010-07
6290722,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,LA CENTRAL,CALLE,NINGUNO,CALLE,LA CAMPECHANA,CALLE,24 DE MAYO,0,SN,,,0,,EJIDO,LAURELES,,,,24096,4,CAMPECHE,2,Campeche,465,Los Laureles,874,19,,MIELES_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.48784878,-89.99411314,2014-12
6290723,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,GUERRERO C-14,CALLE,COAHUILA C-23,CALLE,CHIHUAHUA C-21,CALLE,16-A,,SN,,,,,COLONIA,NINGUNO,,,,24910,4,CAMPECHE,1,Calkiní,8,Nunkiní,379,11,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,20.39837587,-90.14481168,2010-07
6290724,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,LA CENTRAL,CALLE,NINGUNO,CALLE,LA CAMPECHANA,CALLE,24 DE MAYO,0,SN,,,0,,EJIDO,LOS LAURELES,,,,24096,4,CAMPECHE,2,Campeche,465,Los Laureles,874,19,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.48782032,-89.99411481,2010-07
6290726,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,8,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24660,4,CAMPECHE,6,Hopelchén,23,Vicente Guerrero,1161,9,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.58447595,-89.6000432,2010-07
6290727,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,23,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24700,4,CAMPECHE,8,Tenabo,1,Tenabo,257,4,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,20.04026293,-90.23227807,2010-07
6290692,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,MÉXICO,AVENIDA,31 DE OCTUBRE,AVENIDA,PRIMERO DE NOVIEMBRE,AVENIDA,CENTRAL,0,SN,,,0,,COLONIA,NINGUNO,,,,24573,4,CAMPECHE,2,Campeche,263,Quetzal Edzná,893,22,,MIELES_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.45849407,-90.10508721,2014-12
6290693,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,15,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24600,4,CAMPECHE,6,Hopelchén,1,Hopelchén,1119,16,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.74784748,-89.84352585,2010-07
6290694,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,13,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24600,4,CAMPECHE,6,Hopelchén,1,Hopelchén,1091,6,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.75033486,-89.84581428,2010-07
6290695,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,JOSÉ MENDIETA,CALLE,5,CALLE,5,CALLE,5,0,SN,,,0,,COLONIA,NINGUNO,,,,24440,4,CAMPECHE,4,Champotón,564,Santo Domingo Kesté,2131,15,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.50287064,-90.50782074,2010-07
6290696,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,CALLE,CALLE,,CALLE,,CALLE,,0,SN,,,0,,COLONIA,NINGUNO,,,,24610,4,CAMPECHE,6,Hopelchén,29,Komchén,572,4,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.5941251,-89.85186225,2010-07
6290697,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,PRINCIPAL,CALLE,TAMARINDO,CALLE,ZAPOTE,CALLE,LIMÓN,0,SN,,,0,,COLONIA,NINGUNO,,,,24570,4,CAMPECHE,2,Campeche,312,Kikab,910,2,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.28890935,-90.20913257,2014-12
6290698,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,1 DE NOVIEMBRE,CALLE,20 DE NOVIEMBRE,CALLE,,CALLE,HALTUNCHEN- SAN ANTONIO CYAL,0,SN,,,0,,COLONIA,NINGUNO,,,,24440,4,CAMPECHE,4,Champotón,14,Hool,1059,16,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.51465822,-90.44552624,2014-12
6290688,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,FRANCISCO VILLA O PRINCIPAL,CALLE,BENITO JUAREZ,CALLE,VICENTE GUERRERO,CALLE,MIGUEL HIDALGO,0,SN,,,0,,COLONIA,NINGUNO,,,,24560,4,CAMPECHE,2,Campeche,72,Bolonchén Cahuich,893,3,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.44227759,-90.20668784,2010-07
6290689,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,10,CALLE,13,CALLE,11,CALLE,12,0,SN,,,0,,COLONIA,NINGUNO,,,,24532,4,CAMPECHE,2,Campeche,97,Pocyaxum,821,2,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.73011037,-90.35076527,2010-07
6290717,MIEL Y CERA DE CAMPECHE SPR DE RL,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,CENTRAL,CALLE,NINGUNO,CALLE,LA CAMPECHANA,CALLE,24 DE MAYO,0,SN,,,0,,EJIDO,LOS LAURELES,,,,24096,4,CAMPECHE,2,Campeche,465,Los Laureles,874,19,,MIELERA_CAMPECHE@HOTMAIL.COM,WWW.MIELYCERADECAMPECHE.COM,Fijo,19.48778413,-89.99411692,2014-12
